iter	Logloss
0	0.6773037782
1	0.6628861394
2	0.6491858555
3	0.6363606657
4	0.6242090684
5	0.6129129012
6	0.6018809534
7	0.5919224531
8	0.5822115075
9	0.5731229091
10	0.5644701951
11	0.5558334614
12	0.5480094359
13	0.5409225215
14	0.5342428967
15	0.5275297567
16	0.5216335995
17	0.5160065795
18	0.5102912733
19	0.5051147468
20	0.4999892845
21	0.4952421565
22	0.4907613137
23	0.4864596657
24	0.4824472886
25	0.4787718199
26	0.4751463248
27	0.471853119
28	0.4688445377
29	0.4658058373
30	0.4626654974
31	0.4596935706
32	0.4573970085
33	0.4552909465
34	0.4526471657
35	0.4501537948
36	0.4480737658
37	0.4460656878
38	0.4443399286
39	0.4422800532
40	0.4407279855
41	0.439177354
42	0.437607073
43	0.436197029
44	0.4345558102
45	0.4330930746
46	0.4316878508
47	0.4304016698
48	0.4291326894
49	0.4278506607
50	0.4267320225
51	0.425653103
52	0.4246856869
53	0.4237635004
54	0.4229613568
55	0.422065647
56	0.4212063958
57	0.4204912946
58	0.4197925942
59	0.4191113637
60	0.4184063026
61	0.4174716371
62	0.4167205794
63	0.4160624972
64	0.415379082
65	0.4148883199
66	0.414192463
67	0.4135103578
68	0.4130491777
69	0.4125217788
70	0.4120290787
71	0.4114453893
72	0.4111071474
73	0.410696279
74	0.4102344138
75	0.4098698823
76	0.4094879013
77	0.4089917418
78	0.408616708
79	0.4081393482
80	0.4076542732
81	0.4072266738
82	0.4068065692
83	0.4064963741
84	0.4062031537
85	0.4058839225
86	0.4055588242
87	0.4053106053
88	0.4049481159
89	0.4046304135
90	0.4043697484
91	0.404049688
92	0.4038061047
93	0.4034889746
94	0.4032231699
95	0.4028986173
96	0.4026529096
97	0.402395075
98	0.4020981357
99	0.4016656242
100	0.4014182725
101	0.4012509886
102	0.4008685547
103	0.4005340733
104	0.4003089283
105	0.4000959326
106	0.3998212601
107	0.3994761777
108	0.399228349
109	0.3990019488
110	0.3987842469
111	0.3985594911
112	0.3983122072
113	0.3981269541
114	0.3980360321
115	0.3978148607
116	0.3975457193
117	0.3973284249
118	0.3970570788
119	0.3967414383
120	0.3964997421
121	0.3962906888
122	0.3960264702
123	0.3959025082
124	0.3957015381
