iter	Passed	Remaining
0	171	171351
1	178	89044
2	184	61390
3	189	47247
4	194	38607
5	198	32819
6	201	28554
7	204	25410
8	208	22913
9	211	20932
10	214	19292
11	218	17955
12	221	16798
13	224	15797
14	227	14923
15	230	14171
16	233	13519
17	237	12939
18	240	12427
19	244	11977
20	248	11566
21	251	11188
22	255	10832
23	258	10520
24	262	10236
25	266	9973
26	269	9719
27	273	9487
28	276	9272
29	280	9056
30	283	8866
31	287	8682
32	290	8510
33	292	8315
34	295	8155
35	298	8005
36	302	7864
37	305	7742
38	307	7588
39	311	7468
40	314	7350
41	317	7238
42	320	7136
43	323	7035
44	327	6940
45	330	6844
46	333	6753
47	336	6682
48	340	6601
49	343	6521
50	346	6446
51	349	6379
52	353	6307
53	355	6230
54	359	6173
55	362	6113
56	366	6061
57	370	6009
58	373	5956
59	377	5921
60	381	5872
61	384	5822
62	388	5771
63	391	5721
64	394	5671
65	397	5627
66	400	5581
67	403	5535
68	407	5493
69	410	5450
70	413	5410
71	417	5377
72	420	5343
73	424	5311
74	428	5279
75	431	5243
76	434	5208
77	437	5172
78	440	5138
79	443	5104
80	446	5071
81	450	5039
82	453	5010
83	456	4978
84	459	4949
85	463	4921
86	466	4895
87	469	4865
88	472	4837
89	475	4810
90	478	4782
91	482	4762
92	485	4736
93	488	4710
94	491	4684
95	495	4661
96	498	4637
97	501	4612
98	504	4589
99	507	4565
100	510	4545
101	513	4523
102	516	4501
103	520	4480
104	523	4460
105	526	4439
106	529	4418
107	533	4402
108	536	4386
109	540	4371
110	545	4367
111	548	4352
112	552	4338
113	558	4336
114	562	4326
115	565	4309
116	568	4292
117	572	4279
118	575	4262
119	578	4245
120	582	4228
121	585	4213
122	588	4196
123	591	4180
124	594	4164
125	597	4147
126	601	4131
127	604	4118
128	607	4102
129	610	4086
130	613	4072
131	616	4056
132	620	4041
133	623	4027
134	627	4019
135	630	4006
136	633	3992
137	636	3978
138	639	3963
139	643	3950
140	646	3937
141	649	3924
142	652	3911
143	655	3897
144	658	3885
145	662	3873
146	665	3860
147	668	3847
148	671	3835
149	674	3823
150	677	3810
151	680	3798
152	683	3786
153	686	3773
154	690	3762
155	693	3752
156	696	3741
157	699	3730
158	703	3718
159	707	3712
160	710	3703
161	714	3694
162	717	3684
163	721	3676
164	725	3670
165	728	3659
166	731	3649
167	735	3643
168	738	3633
169	742	3623
170	746	3617
171	749	3607
172	752	3597
173	755	3586
174	758	3577
175	762	3568
176	765	3560
177	769	3551
178	772	3545
179	776	3536
180	779	3529
181	783	3520
182	786	3510
183	789	3500
184	792	3493
185	796	3484
186	799	3474
187	802	3466
188	805	3457
189	808	3448
190	811	3439
191	815	3430
192	818	3420
193	821	3413
194	824	3405
195	827	3396
196	830	3387
197	834	3378
198	837	3370
199	842	3369
200	847	3368
201	851	3362
202	855	3357
203	858	3350
204	862	3344
205	865	3337
206	870	3333
207	874	3328
208	877	3322
209	881	3315
210	885	3310
211	889	3308
212	894	3303
213	898	3301
214	903	3298
215	907	3292
216	909	3282
217	913	3275
218	917	3273
219	921	3267
220	925	3261
221	928	3254
222	932	3248
223	935	3242
224	939	3237
225	944	3234
226	948	3229
227	951	3221
228	954	3214
229	957	3206
230	960	3198
231	964	3191
232	967	3183
233	970	3176
234	973	3169
235	976	3162
236	980	3155
237	983	3148
238	986	3141
239	989	3134
240	992	3126
241	996	3120
242	999	3113
243	1002	3105
244	1005	3099
245	1008	3092
246	1011	3084
247	1015	3078
248	1018	3071
249	1021	3064
250	1024	3057
251	1027	3051
252	1031	3045
253	1034	3039
254	1038	3033
255	1041	3025
256	1044	3018
257	1047	3013
258	1051	3008
259	1055	3002
260	1058	2996
261	1061	2991
262	1066	2988
263	1069	2982
264	1073	2977
265	1077	2973
266	1080	2966
267	1083	2960
268	1086	2953
269	1090	2949
270	1093	2942
271	1097	2936
272	1100	2929
273	1103	2923
274	1106	2917
275	1109	2910
276	1112	2904
277	1115	2898
278	1119	2891
279	1122	2885
280	1125	2879
281	1128	2873
282	1132	2868
283	1136	2864
284	1139	2858
285	1142	2852
286	1145	2846
287	1149	2840
288	1152	2835
289	1155	2829
290	1159	2824
291	1162	2818
292	1165	2812
293	1169	2807
294	1172	2801
295	1175	2795
296	1178	2790
297	1181	2784
298	1185	2778
299	1188	2772
300	1191	2766
301	1194	2761
302	1197	2755
303	1200	2749
304	1203	2743
305	1207	2737
306	1210	2732
307	1213	2726
308	1216	2720
309	1219	2715
310	1223	2709
311	1226	2704
312	1229	2698
313	1232	2692
314	1235	2686
315	1239	2682
316	1242	2677
317	1246	2672
318	1250	2670
319	1254	2665
320	1257	2660
321	1261	2655
322	1264	2650
323	1267	2645
324	1270	2639
325	1273	2633
326	1277	2628
327	1280	2622
328	1283	2617
329	1286	2611
330	1289	2606
331	1292	2600
332	1295	2595
333	1299	2590
334	1302	2584
335	1305	2579
336	1308	2574
337	1311	2568
338	1314	2563
339	1317	2558
340	1321	2553
341	1324	2547
342	1327	2542
343	1330	2537
344	1334	2533
345	1337	2528
346	1340	2523
347	1344	2518
348	1347	2513
349	1350	2507
350	1353	2502
351	1356	2497
352	1360	2493
353	1363	2488
354	1367	2483
355	1370	2478
356	1373	2473
357	1376	2468
358	1379	2463
359	1382	2458
360	1386	2453
361	1389	2448
362	1392	2443
363	1395	2438
364	1398	2433
365	1402	2430
366	1414	2439
367	1419	2437
368	1422	2432
369	1426	2428
370	1429	2423
371	1433	2419
372	1437	2416
373	1441	2412
374	1444	2407
375	1447	2402
376	1451	2399
377	1454	2393
378	1457	2388
379	1461	2384
380	1464	2379
381	1467	2374
382	1470	2369
383	1473	2363
384	1476	2358
385	1479	2353
386	1482	2348
