iter	Logloss
0	0.6809559203
1	0.6671170791
2	0.6554383535
3	0.6449511712
4	0.6338601098
5	0.6236207226
6	0.6134121511
7	0.6041880283
8	0.5958964641
9	0.5878845523
10	0.5808564064
11	0.57306839
12	0.5656718114
13	0.5587650746
14	0.5529487166
15	0.5470585065
16	0.540854582
17	0.5354739422
18	0.5293640013
19	0.5243881125
20	0.5180870663
21	0.5129557218
22	0.5072573609
23	0.5021866925
24	0.4953596496
25	0.4903222565
26	0.484550671
27	0.4806180211
28	0.4759268218
29	0.4718936602
30	0.4682789433
31	0.4642383873
32	0.4599940726
33	0.4566930918
34	0.4531302004
35	0.448868072
36	0.4454642718
37	0.4421733103
38	0.4390580142
39	0.4361719172
40	0.4322289259
41	0.4274636608
42	0.4246179958
43	0.4204384151
44	0.4183307157
45	0.4157473178
46	0.4130358806
47	0.4110391279
48	0.4083539737
49	0.4061232183
50	0.4033208357
51	0.4007770415
52	0.3978272411
53	0.3952204034
54	0.3922672956
55	0.3898030646
56	0.3875687193
57	0.3852950599
58	0.3831729628
59	0.3810334293
60	0.3788746095
61	0.3729147243
62	0.3705750069
63	0.3685029181
64	0.3665474225
65	0.3631706889
66	0.3615669483
67	0.3593691361
68	0.3576370887
69	0.3557284979
70	0.3539049607
71	0.35211078
72	0.3507899455
73	0.3485024022
74	0.3453671058
75	0.3417391971
76	0.3402123574
77	0.3369530872
78	0.3349600357
79	0.3325768971
80	0.3308901941
81	0.3291165039
82	0.3274538491
83	0.3242902246
84	0.322463317
85	0.3212748446
86	0.3188563957
87	0.3171254913
88	0.3154022507
89	0.3140448638
90	0.3123795893
91	0.3111907632
92	0.3099964403
93	0.3069717015
94	0.3058017595
95	0.3041964739
96	0.3008451997
97	0.2997305929
98	0.2965754595
99	0.2954312178
100	0.2942699628
101	0.293017712
102	0.2915002155
103	0.2899248201
104	0.2880904037
105	0.2864394908
106	0.2854202183
107	0.2839835371
108	0.2826528909
109	0.2804929719
110	0.279371601
111	0.2774596355
112	0.2764535941
113	0.2752470468
114	0.2740867183
115	0.2730422185
116	0.2713959992
117	0.2705153275
118	0.2695210488
119	0.2685853597
120	0.2663640928
121	0.265252538
122	0.2639946859
123	0.2629289655
124	0.2618989253
125	0.260778393
126	0.2598060103
127	0.2586682892
128	0.2578787319
129	0.25601388
130	0.2551467136
131	0.2543128128
132	0.2533284616
133	0.2524635252
134	0.2514398169
135	0.2498342807
136	0.2491074198
137	0.2484438986
138	0.2476854733
139	0.2465991147
140	0.2458175941
141	0.2448288442
142	0.2441175811
143	0.242986414
144	0.242151445
145	0.2412575261
146	0.2405460093
147	0.2395537099
148	0.238819864
149	0.2380007007
150	0.2371028114
151	0.2358469418
152	0.2351484729
153	0.2338652199
154	0.2327210734
155	0.2319819848
156	0.2313174358
157	0.2305170336
158	0.2298533942
159	0.2291135515
160	0.2284908712
161	0.2276405562
162	0.2264803387
163	0.2255779392
164	0.2247214695
165	0.2233268931
166	0.2217065675
167	0.2209822923
168	0.2202829597
169	0.2192475152
170	0.2186497466
171	0.2179101616
172	0.21724987
173	0.2163083529
174	0.2156736787
175	0.2146986881
176	0.213912579
177	0.2131955539
178	0.2125725744
179	0.2120712213
180	0.2113710199
181	0.2106653204
182	0.2098027812
183	0.2093879231
184	0.2085875712
185	0.2078064707
186	0.2071965665
187	0.206600091
188	0.2060179651
189	0.2054214053
190	0.2048269998
191	0.2040403073
192	0.20329724
193	0.2025828413
194	0.2019418256
195	0.2012495339
196	0.2007852833
197	0.2001570281
198	0.1997028175
199	0.1992050671
200	0.1987792436
201	0.1979946044
202	0.1968709263
203	0.1960911568
204	0.1954397007
205	0.1948212122
206	0.1943256852
207	0.1936200042
208	0.1922441967
209	0.191620364
210	0.1909249626
211	0.190030509
212	0.1894899053
213	0.1884291456
214	0.1878948397
215	0.1872796143
216	0.1867322974
217	0.1862910026
218	0.1856813087
219	0.1849307924
220	0.1843240406
221	0.1838018774
222	0.1833841737
223	0.1826324589
224	0.1820868664
225	0.1813992508
226	0.1807930177
227	0.1800320965
228	0.1795452095
229	0.1790298671
230	0.1785939318
231	0.1781522679
232	0.1778060639
233	0.1770617097
234	0.1766506327
235	0.1753496595
236	0.1749623193
237	0.1739577045
238	0.1732505606
239	0.1716931877
240	0.1713530975
241	0.1707092037
242	0.1702857523
243	0.1692913002
244	0.1689234737
245	0.1680209298
246	0.1675125527
247	0.167143579
248	0.1667328709
249	0.1662018216
250	0.1656093866
251	0.1650731347
252	0.1644816344
253	0.163872551
254	0.1633991115
