iter	Passed	Remaining
0	11	11148
1	19	9903
2	26	8879
3	35	8824
4	45	9087
5	57	9450
6	62	8868
7	70	8697
8	76	8389
9	85	8434
10	93	8373
11	105	8664
12	112	8510
13	118	8360
14	125	8210
15	132	8123
16	138	7988
17	145	7964
18	151	7830
19	158	7756
20	164	7660
21	170	7593
22	178	7591
23	186	7597
24	196	7679
25	207	7769
26	217	7843
27	226	7879
28	233	7806
29	243	7867
30	249	7796
31	255	7737
32	261	7663
33	267	7599
34	274	7555
35	280	7520
36	304	7926
37	310	7850
38	316	7800
39	322	7747
40	328	7684
41	335	7651
42	341	7604
43	348	7569
44	354	7523
45	360	7474
46	369	7483
47	376	7460
48	384	7464
49	391	7432
50	404	7517
51	410	7487
52	418	7477
53	424	7440
54	435	7481
55	441	7436
56	448	7427
57	454	7387
58	462	7373
59	468	7339
60	474	7305
61	480	7273
62	486	7234
63	494	7224
64	500	7192
65	506	7162
66	512	7134
67	518	7100
68	526	7102
69	532	7079
70	539	7063
71	546	7047
72	555	7054
73	563	7056
74	573	7073
75	580	7052
76	589	7071
77	596	7051
78	605	7058
79	613	7049
80	619	7024
81	625	7001
82	634	7004
83	641	6993
84	648	6985
85	655	6964
86	661	6942
87	668	6925
88	674	6899
89	683	6908
90	689	6885
91	697	6881
92	703	6860
93	711	6855
94	718	6842
95	726	6842
96	734	6833
97	744	6853
98	752	6852
99	761	6850
100	768	6836
101	777	6843
102	784	6831
103	793	6837
104	799	6818
105	808	6819
106	816	6814
107	822	6796
108	828	6776
109	836	6764
110	842	6748
111	849	6734
112	858	6736
113	864	6716
114	871	6709
115	877	6686
116	884	6676
117	890	6656
118	898	6653
119	905	6642
120	913	6639
121	922	6636
122	929	6627
123	941	6649
124	952	6664
125	959	6654
126	971	6680
127	980	6677
128	987	6670
129	995	6662
130	1001	6643
131	1007	6625
132	1013	6607
133	1019	6591
134	1029	6596
135	1037	6588
136	1045	6582
137	1051	6565
138	1057	6550
139	1063	6535
140	1069	6516
141	1077	6511
142	1084	6497
143	1091	6489
144	1097	6472
145	1104	6460
146	1114	6466
147	1126	6483
148	1133	6474
149	1141	6468
150	1147	6454
151	1155	6448
152	1161	6431
153	1171	6434
154	1177	6419
155	1185	6412
156	1191	6395
157	1197	6382
158	1204	6370
159	1211	6359
160	1219	6353
161	1226	6344
162	1234	6336
163	1241	6326
164	1250	6326
165	1257	6315
166	1263	6304
167	1270	6291
168	1277	6282
169	1286	6281
170	1293	6270
171	1300	6261
172	1311	6270
173	1319	6262
174	1331	6274
175	1336	6258
176	1344	6253
177	1350	6236
178	1357	6226
179	1363	6212
180	1370	6199
181	1376	6188
182	1382	6174
183	1389	6163
184	1395	6147
185	1401	6134
186	1408	6123
187	1414	6110
188	1421	6101
189	1430	6098
190	1442	6108
191	1449	6100
192	1463	6119
193	1478	6143
194	1494	6168
195	1512	6205
196	1542	6288
197	1567	6349
198	1589	6399
199	1605	6423
200	1623	6452
201	1644	6495
202	1662	6525
203	1670	6518
204	1681	6519
205	1687	6504
206	1700	6512
207	1711	6518
208	1718	6503
209	1729	6505
210	1735	6491
211	1745	6487
212	1752	6475
213	1761	6470
214	1773	6474
215	1780	6462
216	1790	6462
217	1798	6452
218	1811	6458
219	1825	6470
220	1832	6458
221	1841	6452
222	1850	6446
223	1858	6439
224	1869	6440
225	1885	6457
226	1896	6457
227	1906	6456
228	1920	6465
229	1933	6473
230	1941	6464
231	1955	6472
232	1968	6480
233	1982	6490
234	1996	6500
235	2014	6520
236	2024	6518
237	2031	6505
238	2039	6493
239	2045	6476
240	2051	6461
241	2059	6450
242	2066	6437
243	2075	6430
244	2082	6418
245	2090	6407
246	2098	6397
247	2106	6387
248	2113	6374
249	2120	6362
250	2128	6351
251	2136	6340
252	2143	6329
253	2157	6336
254	2166	6328
255	2177	6327
256	2187	6322
257	2197	6320
258	2207	6314
259	2217	6312
260	2228	6309
261	2238	6305
262	2250	6305
263	2260	6302
264	2272	6302
265	2283	6300
266	2292	6293
267	2300	6284
268	2309	6275
269	2317	6266
270	2326	6257
271	2334	6249
272	2344	6243
273	2352	6233
274	2361	6225
275	2370	6217
276	2379	6212
277	2390	6208
278	2399	6201
279	2409	6196
280	2418	6189
281	2428	6183
282	2456	6223
283	2478	6248
284	2502	6278
285	2526	6308
286	2566	6375
287	2587	6395
288	2597	6389
289	2605	6377
290	2613	6368
291	2621	6356
292	2630	6347
293	2637	6333
294	2646	6325
295	2653	6311
296	2663	6304
297	2671	6293
298	2680	6283
299	2686	6267
300	2694	6256
301	2700	6241
302	2707	6228
303	2713	6212
304	2720	6198
305	2730	6192
306	2739	6184
307	2747	6173
308	2756	6164
309	2764	6154
310	2774	6146
311	2782	6136
312	2791	6126
313	2798	6114
314	2806	6102
315	2813	6088
316	2822	6082
317	2831	6072
318	2839	6060
319	2846	6049
320	2855	6040
321	2862	6027
322	2869	6015
323	2876	6001
324	2883	5989
325	2890	5976
326	2899	5967
327	2906	5955
328	2922	5961
329	2930	5950
330	2938	5939
331	2947	5929
332	2954	5917
333	2963	5909
334	2970	5896
335	2978	5885
336	2985	5872
337	2994	5864
338	3001	5852
339	3010	5843
340	3017	5830
341	3025	5821
342	3034	5812
343	3042	5802
344	3049	5789
345	3057	5778
346	3063	5765
347	3071	5754
348	3078	5741
349	3087	5733
350	3094	5720
351	3102	5711
352	3109	5700
353	3118	5690
354	3126	5680
355	3133	5668
356	3142	5659
357	3149	5648
358	3156	5636
359	3163	5623
360	3169	5609
361	3174	5595
362	3180	5581
363	3187	5568
364	3193	5555
365	3199	5543
366	3205	5529
367	3213	5518
368	3219	5505
369	3226	5494
370	3232	5480
371	3238	5467
372	3245	5455
373	3251	5442
374	3260	5433
375	3266	5421
376	3274	5411
377	3280	5398
378	3287	5386
379	3294	5375
380	3301	5364
381	3307	5351
382	3314	5338
383	3343	5364
384	3366	5377
385	3388	5390
386	3419	5415
387	3437	5421
388	3455	5428
389	3487	5454
390	3504	5458
391	3525	5467
392	3542	5472
393	3559	5475
394	3574	5475
395	3591	5477
396	3610	5483
397	3625	5484
398	3639	5482
399	3649	5474
400	3661	5469
401	3673	5465
402	3683	5456
403	3694	5450
404	3710	5450
405	3734	5464
406	3743	5454
407	3752	5444
408	3761	5434
409	3769	5424
410	3778	5415
411	3787	5405
412	3795	5393
413	3802	5381
414	3808	5368
415	3816	5357
416	3823	5345
417	3830	5333
418	3837	5321
419	3844	5309
420	3850	5295
421	3856	5282
422	3863	5269
423	3869	5256
424	3876	5244
425	3882	5231
426	3889	5218
427	3895	5206
428	3901	5193
429	3910	5183
430	3916	5170
431	3923	5158
432	3929	5145
433	3937	5134
434	3943	5122
435	3949	5109
436	3956	5097
437	3962	5084
438	3970	5073
439	3976	5060
440	3982	5047
441	3988	5035
442	3994	5022
443	4001	5010
444	4007	4998
445	4013	4985
446	4019	4972
447	4025	4959
448	4030	4946
449	4036	4933
450	4042	4921
451	4048	4907
452	4053	4894
453	4059	4881
454	4065	4869
455	4071	4857
456	4078	4845
457	4085	4834
458	4091	4822
459	4098	4810
460	4104	4798
461	4109	4785
462	4116	4774
463	4122	4762
464	4129	4751
465	4136	4739
466	4142	4727
467	4149	4716
468	4154	4704
469	4161	4692
470	4167	4680
471	4173	4668
472	4179	4656
473	4184	4643
474	4190	4631
475	4196	4620
476	4203	4608
477	4211	4599
478	4218	4588
479	4226	4578
480	4231	4566
481	4237	4554
482	4243	4542
483	4251	4532
484	4260	4524
485	4273	4519
486	4292	4521
487	4299	4511
488	4306	4500
489	4312	4488
490	4323	4481
491	4329	4470
492	4337	4460
493	4343	4449
494	4351	4439
495	4357	4427
496	4366	4418
497	4372	4407
498	4381	4399
499	4388	4388
500	4396	4378
501	4402	4367
502	4409	4356
503	4416	4346
504	4422	4334
505	4429	4324
506	4435	4313
507	4442	4302
508	4449	4292
509	4458	4283
510	4467	4275
511	4477	4267
512	4484	4257
513	4493	4248
514	4500	4238
515	4509	4229
516	4515	4218
517	4523	4209
518	4529	4198
519	4537	4188
520	4544	4178
521	4551	4168
522	4559	4158
523	4567	4149
524	4577	4141
525	4583	4130
526	4590	4119
527	4596	4109
528	4603	4098
529	4610	4088
530	4619	4079
531	4625	4069
532	4635	4061
533	4643	4052
534	4653	4044
535	4659	4033
536	4667	4024
537	4674	4014
538	4683	4005
539	4689	3994
540	4697	3985
541	4703	3974
542	4712	3966
543	4719	3956
544	4729	3948
545	4736	3938
546	4745	3930
547	4751	3919
548	4760	3910
549	4766	3899
550	4773	3889
551	4779	3879
552	4786	3868
553	4791	3857
554	4798	3847
555	4805	3837
556	4813	3828
557	4821	3819
558	4828	3809
559	4838	3801
560	4845	3791
561	4855	3784
562	4862	3774
563	4870	3764
564	4877	3755
565	4886	3747
566	4893	3736
567	4903	3729
568	4909	3718
569	4918	3710
570	4925	3700
571	4934	3692
572	4940	3681
573	4948	3672
574	4954	3661
575	4961	3652
576	4968	3642
577	4975	3632
578	4982	3622
579	4990	3613
580	4999	3605
581	5007	3596
582	5018	3589
583	5029	3582
584	5038	3573
585	5049	3567
586	5059	3559
587	5066	3550
588	5075	3541
589	5081	3531
590	5089	3521
591	5097	3512
592	5106	3504
593	5113	3495
594	5123	3487
595	5131	3478
596	5140	3470
597	5163	3471
598	5175	3464
599	5185	3457
600	5192	3447
601	5202	3439
602	5210	3430
603	5220	3422
604	5229	3414
605	5239	3406
606	5248	3397
607	5256	3388
608	5265	3380
609	5271	3370
610	5280	3362
611	5287	3352
612	5296	3344
613	5304	3334
614	5313	3326
615	5320	3316
616	5330	3308
617	5337	3298
618	5345	3290
619	5352	3280
620	5363	3273
621	5370	3263
622	5378	3255
623	5384	3244
624	5393	3236
625	5401	3227
626	5411	3219
627	5421	3211
628	5428	3202
629	5438	3194
630	5445	3184
631	5455	3176
632	5463	3167
633	5472	3159
634	5479	3149
635	5487	3140
636	5495	3131
637	5504	3123
638	5511	3113
639	5520	3105
640	5528	3096
641	5541	3090
642	5553	3083
643	5561	3074
644	5572	3066
645	5584	3060
646	5594	3052
647	5605	3044
648	5617	3038
649	5627	3030
650	5636	3021
651	5644	3012
652	5651	3003
653	5659	2994
654	5665	2984
655	5674	2975
656	5681	2966
657	5687	2956
658	5694	2946
659	5700	2936
660	5707	2927
661	5730	2925
662	5737	2916
663	5744	2906
664	5750	2896
665	5757	2887
666	5763	2877
667	5770	2868
668	5777	2858
669	5783	2848
670	5790	2839
671	5796	2829
672	5803	2819
673	5810	2810
674	5817	2801
675	5823	2791
676	5829	2781
677	5836	2771
678	5842	2762
679	5850	2753
680	5856	2743
681	5863	2734
682	5870	2724
683	5876	2715
684	5884	2705
685	5890	2696
686	5897	2687
687	5904	2677
688	5911	2668
689	5919	2659
690	5926	2650
691	5934	2641
692	5940	2631
693	5948	2622
694	5954	2612
695	5963	2604
696	5969	2595
697	5978	2586
698	5984	2577
699	5993	2568
700	6000	2559
701	6008	2550
702	6015	2541
703	6022	2532
704	6029	2522
705	6036	2513
706	6043	2504
707	6050	2495
708	6057	2486
709	6062	2476
710	6069	2467
711	6076	2457
712	6083	2448
713	6090	2439
714	6100	2431
715	6109	2423
716	6118	2415
717	6125	2405
718	6133	2396
719	6140	2388
720	6148	2379
721	6155	2370
722	6163	2361
723	6172	2353
724	6182	2344
725	6190	2336
726	6201	2328
727	6211	2320
728	6219	2311
729	6227	2303
730	6247	2298
731	6255	2290
732	6264	2282
733	6275	2274
734	6286	2266
735	6302	2260
736	6313	2253
737	6323	2245
738	6333	2236
739	6345	2229
740	6355	2221
741	6365	2213
742	6378	2206
743	6390	2198
744	6401	2191
745	6415	2184
746	6429	2177
747	6439	2169
748	6445	2160
749	6454	2151
750	6460	2142
751	6496	2142
752	6505	2133
753	6513	2125
754	6522	2116
755	6531	2107
756	6539	2099
757	6548	2090
758	6558	2082
759	6569	2074
760	6578	2066
761	6586	2057
762	6595	2048
763	6604	2040
764	6615	2032
765	6624	2023
766	6634	2015
767	6643	2007
768	6652	1998
769	6663	1990
770	6673	1982
771	6685	1974
772	6696	1966
773	6706	1958
774	6716	1949
775	6726	1941
776	6736	1933
777	6748	1925
778	6759	1917
779	6770	1909
780	6781	1901
781	6792	1893
782	6804	1885
783	6815	1877
784	6825	1869
785	6838	1861
786	6852	1854
787	6863	1846
788	6876	1838
789	6887	1830
790	6899	1823
791	6913	1815
792	6922	1806
793	6930	1798
794	6938	1789
795	6946	1780
796	6953	1771
797	6960	1762
798	6966	1752
799	6975	1743
800	6980	1734
801	6988	1725
802	6994	1716
803	7001	1706
804	7022	1701
805	7029	1692
806	7039	1683
807	7046	1674
808	7056	1665
809	7064	1657
810	7072	1648
811	7081	1639
812	7088	1630
813	7097	1621
814	7104	1612
815	7113	1604
816	7121	1595
817	7131	1586
818	7139	1577
819	7150	1569
820	7158	1560
821	7166	1551
822	7175	1543
823	7184	1534
824	7193	1525
825	7202	1517
826	7212	1508
827	7220	1499
828	7230	1491
829	7240	1483
830	7248	1474
831	7258	1465
832	7266	1456
833	7275	1448
834	7284	1439
835	7292	1430
836	7301	1421
837	7311	1413
838	7319	1404
839	7328	1395
840	7337	1387
841	7347	1378
842	7355	1369
843	7363	1361
844	7372	1352
845	7382	1343
846	7392	1335
847	7403	1327
848	7415	1318
849	7425	1310
850	7435	1301
851	7444	1293
852	7452	1284
853	7461	1275
854	7470	1266
855	7481	1258
856	7491	1250
857	7501	1241
858	7510	1232
859	7519	1224
860	7528	1215
861	7537	1206
862	7546	1198
863	7556	1189
864	7566	1180
865	7578	1172
866	7588	1164
867	7598	1155
868	7620	1148
869	7640	1141
870	7659	1134
871	7677	1127
872	7696	1119
873	7713	1112
874	7731	1104
875	7749	1096
876	7765	1089
877	7784	1081
878	7800	1073
879	7810	1065
880	7818	1056
881	7826	1047
882	7833	1037
883	7839	1028
884	7847	1019
885	7853	1010
886	7862	1001
887	7869	992
888	7877	983
889	7883	974
890	7891	965
891	7897	956
892	7904	947
893	7910	937
894	7917	928
895	7923	919
896	7930	910
897	7937	901
898	7943	892
899	7950	883
900	7957	874
901	7963	865
902	7971	856
903	7978	847
904	7985	838
905	7992	829
906	8000	820
907	8008	811
908	8018	802
909	8026	793
910	8035	785
911	8043	776
912	8052	767
913	8060	758
914	8069	749
915	8078	740
916	8086	731
917	8094	723
918	8103	714
919	8112	705
920	8120	696
921	8129	687
922	8137	678
923	8147	670
924	8156	661
925	8165	652
926	8174	643
927	8183	634
928	8192	626
929	8201	617
930	8211	608
931	8220	599
932	8230	591
933	8239	582
934	8249	573
935	8260	564
936	8269	556
937	8278	547
938	8289	538
939	8298	529
940	8308	520
941	8318	512
942	8327	503
943	8337	494
944	8347	485
945	8356	477
946	8367	468
947	8376	459
948	8387	450
949	8396	441
950	8404	433
951	8412	424
952	8420	415
953	8428	406
954	8441	397
955	8450	388
956	8459	380
957	8467	371
958	8476	362
959	8483	353
960	8491	344
961	8498	335
962	8506	326
963	8514	317
964	8525	309
965	8533	300
966	8542	291
967	8548	282
968	8557	273
969	8564	264
970	8571	256
971	8578	247
972	8585	238
973	8591	229
974	8598	220
975	8606	211
976	8613	202
977	8621	193
978	8627	185
979	8635	176
980	8642	167
981	8649	158
982	8657	149
983	8664	140
984	8671	132
985	8679	123
986	8688	114
987	8696	105
988	8702	96
989	8708	87
990	8717	79
991	8724	70
992	8730	61
993	8737	52
994	8745	43
995	8751	35
996	8759	26
997	8767	17
998	8775	8
999	8781	0
