,전통주이름,상품명,가격
0,1000억 유산균 막걸리,1000억 유산균막걸리,"￦3,200 (가격은 판매처 별로 상이할 수 있습니다)"
1,1932 새싹땅콩+햅쌀/흑미,1932 새싹땅콩 흑미막걸리,"500ml-￦15,000(병제품), 
                                        900ml-￦20,000(PET제품)(가격은 판매처 별로 상이할 수 있습니다.)"
2,2017년 햅쌀로 빚은 첫술,국순당 2010 첫술,"500ml-￦15,000(병제품), 
                                        900ml-￦20,000(PET제품)(가격은 판매처 별로 상이할 수 있습니다.)"
3,52C,,
4,DOK막걸리,걍즐겨,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
5,G12 골디락스,,
6,SSOA-포도,,
7,The 찾을수록,The 찾을수록 시리즈,"￦9,000(360ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
8,가야 프리미엄 막걸리,배다리 프리미엄 막걸리,"￦9,000(360ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
9,가야곡왕주,가야곡 왕주,"￦9,000(360ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
10,가평 잣 생막걸리,가평잣 생 막걸리,"￦9,000(360ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
11,각시탈,각시탈,"￦9,000(360ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
12,감그린 레귤러,감그린 레귤러,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
13,감그린 스페셜,감그린 스페셜,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)"
14,감그린 아이스와인,감그린 아이스와인,"￦89,000(가격은 판매처 별로 상이할 수 있습니다.)"
15,감사,감사,"￦89,000(가격은 판매처 별로 상이할 수 있습니다.)"
16,감사블루,(주)블루멈,"￦89,000(가격은 판매처 별로 상이할 수 있습니다.)"
17,감아락 25,감아락 25도,"￦26,000(가격은 판매처 별로 상이할 수 있습니다.)"
18,감악산 산머루주,파주 감악산 머루,"￦26,000(가격은 판매처 별로 상이할 수 있습니다.)"
19,감이슬,감이슬,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)"
20,감자술 13%,감자술 13%,"￦14,000 (가격은 판매처 별로 상이할 수 있습니다)"
21,강소주,강소주,"￦11,000(1,800ml)(가격은 판매처 별로 상이할 수 있습니다.)"
22,걍즐겨,걍즐겨,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
23,겨울소주 25,겨울소주 25,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)"
24,경기전,전주경기전,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)"
25,경산대추약주 추,,
26,경성과하주,특산물,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)"
27,경주교동법주,경주교동법주,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)"
28,계룡백일주 40%,계룡백일주 12년,"￦150,000(가격은 판매처 별로 상이할 수 있습니다.)"
29,계룡산 산삼주 금수강산 21%,계룡산 산삼주 금수강산 21%,"￦110,000(가격은 판매처 별로 상이할 수 있습니다.)"
30,계룡산 산삼주 금수강산 40%,계룡산 산삼주 금수강산 40%,"￦150,000(가격은 판매처 별로 상이할 수 있습니다.)"
31,고도리 레드와인 스위트,고도리 레드와인 스위트,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)"
32,고도리 로제와인,로제 와인,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)"
33,고도리 복숭아와인,고도리 복숭아와인,"￦32,000(가격은 판매처 별로 상이할 수 있습니다.)"
34,고도리 샤인머스캣 화이트와인,고도리 화이트와인 드라이,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)"
35,고도리 아이스와인(아이스 375),,
36,고도리 징기스칸 브랜디,,
37,고도리 청수 와인,고도리 복숭아와인,"￦32,000(가격은 판매처 별로 상이할 수 있습니다.)"
38,고도리 화이트와인 드라이,고도리 화이트와인 드라이,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)"
39,고도리 화이트와인 스위트,고도리 화이트와인 스위트,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)"
40,고소리술,제주 고소리술,"￦45,000(가격은 판매처 별로 상이할 수 있습니다.)"
41,고운달 백자,고운달 백자,"￦360,000(500ml), ￦180,000(200ml)(가격은 판매처 별로 상이할 수 있습니다.)"
42,고운달 오크,고운달 오크,"￦360,000(500ml), ￦180,000(200ml)(가격은 판매처 별로 상이할 수 있습니다.)"
43,고창선운산 땡큐복분자주,고창선운산 땡큐복분자주,"￦50,000(300ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)"
44,고창선운산 땡큐블루베리주,고창선운산 땡큐블루베리주,"￦60,000(300ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)"
