,상품명,가격
0,1000억 유산균막걸리,"￦3,200 (가격은 판매처 별로 상이할 수 있습니다)"
1,1932 새싹땅콩 흑미막걸리,"500ml-￦15,000(병제품), 
                                        900ml-￦20,000(PET제품)(가격은 판매처 별로 상이할 수 있습니다.)"
2,국순당 2010 첫술,"500ml-￦15,000(병제품), 
                                        900ml-￦20,000(PET제품)(가격은 판매처 별로 상이할 수 있습니다.)"
3,걍즐겨,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
4,The 찾을수록 시리즈,"￦9,000(360ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
5,배다리 프리미엄 막걸리,"￦9,000(360ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
6,가야곡 왕주,"￦9,000(360ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
7,가평잣 생 막걸리,"￦9,000(360ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
8,각시탈,"￦9,000(360ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)"
9,감그린 레귤러,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)"
10,감그린 스페셜,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)"
11,감그린 아이스와인,"￦89,000(가격은 판매처 별로 상이할 수 있습니다.)"
12,감사,"￦89,000(가격은 판매처 별로 상이할 수 있습니다.)"
13,(주)블루멈,"￦89,000(가격은 판매처 별로 상이할 수 있습니다.)"
14,감아락 25도,"￦26,000(가격은 판매처 별로 상이할 수 있습니다.)"
15,파주 감악산 머루,"￦26,000(가격은 판매처 별로 상이할 수 있습니다.)"
16,감이슬,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)"
17,감자술 13%,"￦14,000 (가격은 판매처 별로 상이할 수 있습니다)"
18,강소주,"￦11,000(1,800ml)(가격은 판매처 별로 상이할 수 있습니다.)"
19,걍즐겨,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)"
20,겨울소주 25,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)"
21,전주경기전,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)"
22,특산물,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)"
23,경주교동법주,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)"
24,계룡백일주 12년,"￦150,000(가격은 판매처 별로 상이할 수 있습니다.)"
25,계룡산 산삼주 금수강산 21%,"￦110,000(가격은 판매처 별로 상이할 수 있습니다.)"
26,계룡산 산삼주 금수강산 40%,"￦150,000(가격은 판매처 별로 상이할 수 있습니다.)"
27,고도리 레드와인 스위트,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)"
28,로제 와인,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)"
29,고도리 복숭아와인,"￦32,000(가격은 판매처 별로 상이할 수 있습니다.)"
30,고도리 화이트와인 드라이,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)"
31,고도리 복숭아와인,"￦32,000(가격은 판매처 별로 상이할 수 있습니다.)"
32,고도리 화이트와인 드라이,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)"
33,고도리 화이트와인 스위트,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)"
34,제주 고소리술,"￦45,000(가격은 판매처 별로 상이할 수 있습니다.)"
35,고운달 백자,"￦360,000(500ml), ￦180,000(200ml)(가격은 판매처 별로 상이할 수 있습니다.)"
36,고운달 오크,"￦360,000(500ml), ￦180,000(200ml)(가격은 판매처 별로 상이할 수 있습니다.)"
37,고창선운산 땡큐복분자주,"￦50,000(300ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)"
38,고창선운산 땡큐블루베리주,"￦60,000(300ml*20병)(가격은 판매처 별로 상이할 수 있습니다.)"
39,고창선운산 복분자주 특1호,"￦27,000(가격은 판매처 별로 상이할 수 있습니다.)"
